LoanAmount,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender,CD,UPDATED STATE
36087,NEVILLE ENGINEERING SERVICING INC,13550 S Route 30,PLAINFIELD,IA,60544,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,"JPMorgan Chase Bank, National Association",IL-14,IL
23435,BMP NAIL SUPPLY CORP,3740 LAFAYETTE ROAD SUITE A4,INDIANAPOLIS,IA,46222,423850,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,2,5/1/2020,The Huntington National Bank,IN-07,IN
10417,BSNB SALES &AMP; MARKETING INC,411 COBBLE STONE DRIVE NW,CEDAR RAPIDS,IA,52504,541613,Corporation,Unanswered,Male Owned,Non-Veteran,,,5/1/2020,"Wells Fargo Bank, National Association",,
4000,N &AMP; B WHOLESALE INC.,9024 S Octavia,BRIDGEVIEW,IA,60455,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",IL-03,IL
131270,PANHANDLE FOREST PRODUCTS INC,407 QUINNS LANE,COCOLALLA,ID,82813,321999,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",,
89376.27,CGS MULE LLC,212 N Mobley Dr,BOISE,ID,83712,213113,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,7,4/7/2020,Capital Educators FCU,NV-02,
20000,RACHEL EILEEN WOLFE,460 N 1st Ave.,Ketchum,ID,84430,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"Zions Bank, A Division of",,
18800,GRACE EVANGELICAL LUTHERAN CHURCH INC,3434 6th Street,Lewiston,ID,83504,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,5,5/1/2020,"Zions Bank, A Division of",,
15400,MORGAN PROPERTIES LP,28909 Morgan Lane,South Mountain,ID,97910,112111,Partnership,Unanswered,Unanswered,Unanswered,,0,4/29/2020,Banner Bank,OR-02,
6250,NAAVI'S AFRICAN AND CARIBBEAN,16930 Briargate Drive,COUNTRY CLUB HILLS,ID,60478,445110,Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",IL-02,IL
123560,"LAKEVIEW GRAINS, LLC",300 W ADAMS ST STE 830,CHICAGO,IL,60606,325110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,8,4/11/2020,The Huntington National Bank,OH-15,
63797,THE LAW OFFICES OF FAGAN FAGAN &AMP; DAVIS,650 Lee,DES PLAINES,IL,30016,,Partnership,Unanswered,Unanswered,Unanswered,,6,5/1/2020,"JPMorgan Chase Bank, National Association",GA-04,
45485,"NUMERICAL CONTROLS, INC.",12325 S KEELER,ALSIP,IL,60658,333999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,5/1/2020,BMO Harris Bank National Association,,
41250,"MY FLAVOR IT PLACE, LLC",N/A,N/A,IL,,722513,Corporation,Unanswered,Unanswered,Unanswered,,15,5/1/2020,"JPMorgan Chase Bank, National Association",,
39477.5,OM SHREE MAHANT LLC,13238 Wood Duck Dr,PLAINFIELD,IL,60585,722511,Subchapter S Corporation,Asian,Female Owned,Non-Veteran,,31,4/27/2020,Byline Bank,IA-01,
35617,"COMMUNITY CLIPPERS, INC.","10007 Spanish Road, PO Box 339",Ely,IL,52227,,Corporation,Unanswered,Unanswered,Unanswered,,0,5/1/2020,Cross River Bank,IA-01,IA
31477.5,DIALTONE MANAGEMENT INC.,1701 E Woodfield Rd Suite 511,UNITED STATES,IL,59034,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,TCF National Bank,MT-,
24662,"LABEL DESIGN &AMP; SUPPLIES, INC.",19633 SNOWMASS LN,MOKENA,IL,60488,561910,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,1,5/1/2020,BMO Harris Bank National Association,,
24205,HAVANA KUSTOMS INC.,N/A,N/A,IL,,999990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",,
21985,DR. OGUFERE DDS PC,N/A,N/A,IL,,621210,Corporation,Unanswered,Unanswered,Unanswered,,10,5/1/2020,"JPMorgan Chase Bank, National Association",,
21220,URBAN RISK MANAGEMENT &AMP; CONSULTING,N/A,N/A,IL,,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",,
20400,"VETRO IOWA CITY OPCO, LLC",133 N Jefferson Street,CHICAGO,IL,60661,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,4/6/2020,"Wintrust Bank, National Association",IA-02,
17425.35,"KRAMER INSURANCE AGENCY, INC.",16 W 241 S Frontage Rd STE 47,Burr Ridge,IL,59034,524210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,TCF National Bank,MT-,
17140,SEAWAYS INC,N/A,N/A,IL,,488390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",,
16937,SHIVAMSEVA2 INC.,333 E Us Route 6,MORRIS,IL,60405,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",,
15322,SNS BEAUTY &AMP; FASHION CORPORATION,52 Bandecon Way,BLOOMINGTON,IL,60704,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,"JPMorgan Chase Bank, National Association",,
13700,"ILLIANA DESIGN, INC.",PO BOX 66,OLNEY,IL,62450,541420,Corporation,Unanswered,Unanswered,Unanswered,,1,4/27/2020,TrustBank,IN-09,
12700,SAKAI JAPAN INC,701 s Main St,Normal,IL,61716,722511,Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,"PNC Bank, National Association",,
10600,STYLE ALTARD LLC,11 S NEWSTEAD AVE,SAINT LOUIS,IL,83108,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,5/1/2020,BMO Harris Bank National Association,,
10000,"JAM PACKAGING, CORP.",1 Union Special Plaza,HUNTLEY,IL,44236,424990,Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",OH-14,
9577,AKASHA MOTOR COMPANY LLC,2554 LEESHIRE RD,TUCKER,IL,30084,441228,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/1/2020,Fifth Third Bank,GA-04,GA
9345,"PET HARMONY, LLC",22 W 472 SYCAMORE DR,GLEN ELLYN,IL,60137,812910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3,7/30/2020,"U.S. Bank, National Association",UT-04,
8021,"CARMEN SCORING, LLC",811 woodbridge Drive,Bloomington,IL,47408,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,2,5/1/2020,The Huntington National Bank,IN-09,
7500,JOHN TATOOLES,1601 COLONIAL PKWY,INVERNESS,IL,60667,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,BMO Harris Bank National Association,,
5833,RU87 INC,632 north main st,rushville,IL,46173,,Corporation,Unanswered,Male Owned,Non-Veteran,,2,5/1/2020,The Huntington National Bank,IN-06,IN
4105,MESOPOTAMIA INC,13747 OFFUTT DR,CARMEL,IL,46032,999990,Corporation,White,Female Owned,Non-Veteran,,3,5/1/2020,The Huntington National Bank,IN-05,IN
3485,SALT CREEK POTTERY,48 S VILLA AVE,VILLA PARK,IL,40181,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,Fifth Third Bank,,
3425,JENNEFER J KLATT DBA,N/A,N/A,IL,,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",,
3236,COTTAGE CLEANERS INC,8111 S Cottage Grove,Chicago,IL,64619,812320,Corporation,Unanswered,Male Owned,Non-Veteran,,2,5/1/2020,The Huntington National Bank,,
2622.5,JOAN OBERNDORF LMT,5544 North Paulina St,Single Owner,IL,59034,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,TCF National Bank,MT-,
2562,KORMET LZ INC,N/A,N/A,IL,,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",,
2295,MOES EXPRESS INC.,520 Hill Drive Apt 102,Hoffman Estates,IL,29488,,Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,WebBank,SC-06,
89920.18,SAM&APOS;S TIRE SERVICE INC,17254 State Road 120,Bristol,IN,65107,441320,,Unanswered,Unanswered,Unanswered,,13,5/1/2020,KeyBank National Association,MO-04,
73922,ALL AMERICA HOMEHEALTHCARE INC,6405 manor DR,BURR RIDGE,IN,60527,,Corporation,Unanswered,Unanswered,Unanswered,,15,5/1/2020,"JPMorgan Chase Bank, National Association",IL-11,IL
53478,RLC PROPERTIES INC.,"435 Virginia Avenue, Unit 304",Indianapolis,IN,56203,531120,Corporation,White,Female Owned,Non-Veteran,,2,5/1/2020,The Huntington National Bank,,
52500,"MILLENIAL TECH SERVICES DBA AMERISALES.COM, INC.",11691 Fall Creek Road,INDIANAPOLIS,IN,46246,,Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",,
46995,"THE BURTNER GROUP, LLC",1210 W 86TH ST,INDIANAPOLIS,IN,49260,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,15,5/1/2020,The Huntington National Bank,,
41950,GREAT LAKES INSTITITE FOR NEUROPSYCHOLOGY &AMP; BEHAVIORAL H,494 S EMERSON AVE STE C,GREENWOOD,IN,46413,,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,10,5/1/2020,The Huntington National Bank,,
32060,"MM ENTERTAINMENT, LLC DBA SUNSHINE BOWLING CENTER AND ALL SP",10809 E US Hwy 136,INDIANAPOLIS,IN,43234,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,4,5/1/2020,"JPMorgan Chase Bank, National Association",OH-15,
30769,PHO 88 LLC,578 W Northfield Dr,Brownsburg,IN,43112,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,3,5/1/2020,The Huntington National Bank,OH-15,
29100,GRACE SURGICAL PC,1500 South B Street,Elwood,IN,46073,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"PNC Bank, National Association",,
23325,ARTHUR FISHER,6100 N KEYSTONE AVE,INDIANAPOLIS,IN,46022,621320,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,2,5/1/2020,BMO Harris Bank National Association,,
22915,KRUSEN AUTOMOTIVE AND MARINE INC.,180 detroit street,CARY,IN,60013,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,"JPMorgan Chase Bank, National Association",IL-06,IL
16250,KHALSA USA INC,1608 EAST VERMILLION LN,PALATINE,IN,60744,488999,Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,BMO Harris Bank National Association,,IL
15015,DR GRAEME VANMATRE INC DBA WESTFIELD CHIROPRACTIC,3501 westfield rd,NOBLESVILLE,IN,40602,999990,Corporation,Unanswered,Male Owned,Non-Veteran,,5,5/1/2020,"JPMorgan Chase Bank, National Association",KY-06,
14335,"ELSHAZLY, INC",5650 w 86th st,INDIANAPOLIS,IN,43278,999990,Corporation,Unanswered,Unanswered,Unanswered,,3,5/1/2020,"JPMorgan Chase Bank, National Association",,
12917,ROUX NATION LLC,121 Monument Circle,INDIANAPOLIS,IN,45205,999990,Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",OH-01,
12500,DISTINCTIVE GOODS LLC,3916 N Potsdam Ave #1648,SIOUX FALLS,IN,57104,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",SD-,SD
8442,SEASONS CAMPGROUND LLC,5995 E SONY DRIVE,TERRE HAUTE,IN,47802,721211,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,9,4/9/2020,"Bank of Hillsboro, National Association",IL-15,
4770,NATHANIEL JUSTICE DBA NONE,5046 STONESPRING CT,ANDERSON,IN,40612,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,Fifth Third Bank,,
2345,BRIDGET DEJOHN,26356 Redfiled Rd,Edwardsburg,IN,46112,541219,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1,4/28/2020,G W Jones Exchange Bank,MI-06,MI
44600,"TALLGRASS LOVELAND I, LLC","250 N WATER ST., BLDG 300, STE 100",WICHITA,KS,67202,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,6,4/6/2020,"First National Bank Ames, Iowa",CO-02,
13800,"B STREET AUTO SPA, LLC",10519 S. Quail Ridge Dr.,OLATHE,KS,66061,811192,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,4,4/15/2020,Pinnacle Bank,NE-03,
6100,"M. A. MAZZARESE & ASSOCIATES, LLC",15042 Oxford St.,Leawood,KS,66224,541613,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,4/29/2020,Country Club Bank,MO-05,
73100,CP ANCHORAGE 4 LLC,740 Centre View Blvd.,CRESTVIEW HILLS,KY,41017,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,43,4/10/2020,The Huntington National Bank,AK-,
72312,FORT CAMPBELL HISTORICAL FOUNDATION,32 SCREAMING EAGLE BLVD,FORT CAMPBELL,KY,42223,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,5/1/2020,Cross River Bank,TN-07,TN
62600,CP ANCHORAGE 5 LLC,740 Centre View Blvd.,CRESTVIEW HILLS,KY,41017,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,34,4/10/2020,The Huntington National Bank,AK-,
47200,"TLR CHILI, LLC",22 W CRITTENDEN AVE,COVINGTON,KY,41011,722513,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,0,4/5/2020,First Savings Bank,OH-01,
37410.49,L&P LONGWOOD INVESTMENTS LLC,333 N FIRST ST,RICHMOND,KY,40475,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/5/2020,The First National Bank of Russell Springs,FL-07,
32413,"101ST AIRBORNE DIVISION ASSOCIATION, INC",32 SCREAMING EAGLE BLVD,FORT CAMPBELL,KY,42223,813990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,4,5/1/2020,"Bank of America, National Association",TN-07,TN
28900,"LCPZ LOUISVILLE, INC",704 S MAIN ST,LOUISVILLE,KY,40202,999990,,Unanswered,Unanswered,Unanswered,,20,5/1/2020,Fifth Third Bank,OH-07,OH
24100,CP ANCHORAGE 3 LLC,740 Centre View Blvd.,CRESTVIEW HILLS,KY,41017,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,21,4/10/2020,The Huntington National Bank,AK-,
14949.95,HARMONY PLANT FARE LLC,1801 Race Street,Cincinnati,KY,45202,445110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,5/1/2020,Celtic Bank Corporation,OH-01,OH
7265,TANVI LLC,2840 BASTOGNE AVE,FORT CAMPBELL,KY,42223,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/1/2020,"Bank of America, National Association",TN-07,
3289.64,ANGELA THOMPSON,1415 Chestnut Street,Kenova,KY,25530,,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1,5/1/2020,Celtic Bank Corporation,WV-03,WV
2980,TANVI BEAUTY SPA LLC,2840 BASTOGNE AVE,FORT CAMPBELL,KY,42223,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,5/1/2020,"Bank of America, National Association",TN-07,
131300,ACCU-TECH INC,P.O Box 82609,BATON ROUGE,LA,70883,541511,Corporation,Unanswered,Unanswered,Unanswered,,11,5/1/2020,"JPMorgan Chase Bank, National Association",,
84100,THE MOSTERT GROUP,841 Corporate Dr.,Lexington,LA,40503,115210,,Unanswered,Unanswered,Unanswered,,6,5/1/2020,Fifth Third Bank,KY-06,KY
62500,CHRIS' SEAFOOD LLC,N/A,N/A,LA,,424460,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",,
60562,"HUVAL DOZER &#X26; LAND LEVELING, INC.",132 E BAGSTILL,ARNAUDVILLE,LA,70212,238910,Corporation,Unanswered,Unanswered,Unanswered,,9,5/1/2020,Hancock Whitney Bank,,
33600,"PHILLIP PURPERA, JR.",614 Main Street,FRANKLIN,LA,70538,524210,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,4/7/2020,Rayne State Bank & Trust Company,TX-24,
17607,D&AMP;T HOLDING GROUP LLC,4410 Highland Road,BATON ROUGE,LA,70708,551112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5/1/2020,"JPMorgan Chase Bank, National Association",,
17500,BEGOOD 959 LLC,3226 Grand Route Saint John Street,NEW ORLEANS,LA,70119,722515,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,0,4/12/2020,Citizens Bank,MS-03,
16587,BONE-HOUSTON INC,11169 BEECHNUT ST SUITE L,HOUSTON,LA,77072,561499,Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,Hancock Whitney Bank,TX-09,TX
16555,BICYCLE MICHAELS LLC,622 Frenchmen St,New Orleans,LA,70016,451110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,5/1/2020,WebBank,,
106797,APOLLOVERSITY INCORPORATED,60 Leo M Birmingham Parkway,BRIGHTON,MA,2135,511210,Corporation,Unanswered,Unanswered,Unanswered,,,4/14/2020,Radius Bank,CA-52,
98659,KCST USA INC.,300 Baker Avenue,Concord,MA,11742,999990,Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,KeyBank National Association,NY-01,
60650,"C&APOS;JACK REALTY ASSOCIATES, LLP",1053 Riverdale St,West Springfield,MA,91089,,Partnership,Unanswered,Unanswered,Unanswered,,4,5/1/2020,KeyBank National Association,,
56300,ST. CROIX RENAISSANCE GROUP LLLP,222 Berkeley Street,Boston,MA,851,,Partnership,Unanswered,Unanswered,Unanswered,,0,5/1/2020,"Citizens Bank, National Association",VI-,
41667,"ORAL PATHOLOGY CONSULTANTS, P.L.L.C.",44405 Woodward Ave,PONTIAC,MA,48341,541618,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,5/1/2020,"JPMorgan Chase Bank, National Association",MI-11,MI
28167,"PEOPLE, PLACES &AMP; DESIGN RESEARCH",65 North Street,Northampton,MA,10160,541618,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3,5/1/2020,WebBank,,
27333,CONSEQUENCE CONSULTING LLC-SBA SMALL 7A TERM,2214 Frederick Douglass Blvd,New York,MA,10026,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/1/2020,"TD Bank, National Association",NY-13,NY
13875,LAW OFFICE OF FIORE PORRECA-SBA SMALL 7A TERM,155 North Main Street,Attleboro,MA,2919,541110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0,5/1/2020,"TD Bank, National Association",RI-02,
13569,KRISTIAN INC,Park st,North Reading,MA,1986,445220,Corporation,Unanswered,Unanswered,Unanswered,,4,5/1/2020,Customers Bank,,
12850,"D & D WEST GREENHOUSES, LLC","22 Hudson Rd, PO BOX 625",STOW,MA,1775,111422,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/11/2020,"First Pioneer Farm Credit,  ACA",MT-,
12707,"EASTWEST HEALTHWORKS, INC",6 Boston Road Suite 104,Chelmsford,MA,1825,621399,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,WebBank,,
11430,GRIST FOR THE MILL LLC,2 Central St,Bristol,MA,3222,,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,0,5/1/2020,"TD Bank, National Association",NH-02,NH
10997,NORTH SHORE PENTECOSTALS,2 BUXTON ROAD,DANVERS,MA,9123,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,5/1/2020,"TD Bank, National Association",AE-,
10696,"D.T.S. THE SALON, LLC",5 southendbridge circle,agawam,MA,11001,812112,Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,KeyBank National Association,NY-03,
8892,THOMAS LATOUF,101 Winthrop St,Framingham,MA,7102,,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,0,5/1/2020,"TD Bank, National Association",NJ-10,
8680,YOUR CBD STORE SOUTHWICK LLC,549 College Highway,Southwick,MA,11111,453998,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5/1/2020,KeyBank National Association,,
4397,ELIAN CONSULTING,6 Soldiers Field Park,Boston,MA,2613,,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,5/1/2020,Customers Bank,,
129800,INTRAMALLS LLC,4273 Haulover Drive,Johns Island,MD,29455,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,5/1/2020,"PNC Bank, National Association",SC-01,SC
115245,"TACTICAL AMERICAN SECURITY CONSULTING, LLC",2029 Northwood Drive,Salisbury,MD,21891,561612,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,5/1/2020,Customers Bank,,
55300,BAVNER INC,5315 Duke Ct,FREDERICK,MD,21703,722513,Corporation,Unanswered,Unanswered,Unanswered,,0,4/15/2020,Truist Bank d/b/a Branch Banking & Trust Co,VA-03,
51802,SMOOTHIE KING 300 LLC,6120 Coliseum Street,NEW ORLEANS,MD,70118,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,5/1/2020,"JPMorgan Chase Bank, National Association",LA-01,LA
49052,"DANA INSURANCE SERVICES, INC.",202 blum Ct.,BEL AIR,MD,21014,541690,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,4/29/2020,"BSD Capital, LLC dba Lendistry",SC-06,
33682,PLANET GYMNASTICS OF CONCORD INC,10 GRANITE RD,ACTON,MD,1720,611620,Corporation,Unanswered,Unanswered,Unanswered,,30,5/1/2020,"Bank of America, National Association",MA-03,MA
29727,MARCHATA LLC,600 N WOLFE STREET CMSC B-100,BALTIMORE,MD,21187,999990,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6,5/1/2020,"Bank of America, National Association",,
21431,FU LIN CORPORATION DBA CHARLEYS RESTAUR,703 MOTTER AVE,FREDERICK,MD,21070,,Corporation,Unanswered,Unanswered,Unanswered,,,5/1/2020,"Wells Fargo Bank, National Association",,
20833,ELIZABETH GOOZH,7202 Ridgewood Ave,Chevy Chase,MD,20185,,Sole Proprietorship,Unanswered,Female Owned,Non-Veteran,,1,5/1/2020,The Huntington National Bank,VA-05,
2872,ROADWORK: CENTER FOR CULTURES IN DISPUTED TERRITORY,7517 Holiday Terrace,BETHESDA,MD,29817,,Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,"JPMorgan Chase Bank, National Association",SC-02,
132940,LAS PALAPAS MEXICAN RESTAURANT LLC-SBA SMALL 7A TERM,8 BANGOR MAIL BLVD,BANGOR,ME,94401,,Corporation,Unanswered,Unanswered,Unanswered,,0,5/1/2020,"TD Bank, National Association",CA-14,
61785,PORTLAND 1140 BRIGHTON-SBA SMALL 7A TERM,1140 BRIGHTON,PORTLAND,ME,10412,,Corporation,Unanswered,Unanswered,Unanswered,,0,5/1/2020,"TD Bank, National Association",,
54911,"BAS, INC",195 St. John Street,Portland,ME,3014,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,5/1/2020,KeyBank National Association,,
50000,GAS PATH SOLUTIONS-SBA SMALL 7A TERM,10 Secret Lake Road,Phillipston,ME,1331,,Corporation,Unanswered,Male Owned,Unanswered,,0,5/1/2020,"TD Bank, National Association",MA-02,MA
43785,DALCO PUMPS &AMP; EQUIPMENT INC,2600 Mission Drive,BATON ROUGE,ME,70805,423830,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,5,5/1/2020,"JPMorgan Chase Bank, National Association",LA-02,LA
34810,TOKO INDO INC,215 Commercial Street,Portland,ME,41010,,Corporation,Unanswered,Unanswered,Unanswered,,6,5/1/2020,KeyBank National Association,KY-04,
20833,"SRG ENGINEERING, INC.",52 Blueberry Lane,Gray,ME,9734,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1,5/1/2020,KeyBank National Association,AE-,
20000,GEORGE FIELD,116 W. HARDSCRABBLE RD,AUBURN,ME,94210,112120,,Unanswered,Unanswered,Unanswered,,5,5/1/2020,KeyBank National Association,,
16832,NORTHSHORE SIGNARAMA,75 High Street,Danvers,ME,1923,,Partnership,Unanswered,Unanswered,Unanswered,,2,5/1/2020,WebBank,MA-06,MA
14775,PHILIP SCOTT REALTY-SBA SMALL 7A TERM,192 Commercial St,Provincetown,ME,2657,531210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,5/1/2020,"TD Bank, National Association",MA-09,MA
11515,UNIQUES AND ANTIQUES LLC-SBA SMALL 7A TERM,61 Perkins cove road,Ogunquit,ME,3867,423990,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/1/2020,"TD Bank, National Association",NH-01,
144300,"POWERMARK INTERNATIONAL, LLC",1030 DORIS RD,AUBURN HILLS,MI,48326,326199,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,12,4/12/2020,The Huntington National Bank,IL-16,
134000,MARKS ELECTRIC CO,35176 Valley Forge,Electrical Contracting,MI,59034,621111,Corporation,Unanswered,Unanswered,Unanswered,,10,5/1/2020,TCF National Bank,MT-,
118317.5,KARLIN MARINE,228 N US 321 S,TRAVERSE CITY,MI,59034,441222,Corporation,Unanswered,Male Owned,Non-Veteran,,14,5/1/2020,TCF National Bank,MT-,
109900,GREG G WRIGHT SONS LLC,10200 SPRINGFIELD PIKE,CINCINNATI,MI,45215,339940,Partnership,Unanswered,Female Owned,Non-Veteran,,13,5/1/2020,The Huntington National Bank,OH-02,OH
102002,DELT FORGE INC.,2816 Industrial Park Drive,manufacturing,MI,59034,,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,5/1/2020,TCF National Bank,MT-,
80700,"LS HOLDING (FLORIDA), INC.",354 Indusco Court,TROY,MI,48083,448310,Corporation,Asian,Unanswered,Unanswered,,8,4/10/2020,The Huntington National Bank,FL-26,
66700,PLASTICOS PROMEX USA LLC,1030 DORIS RD,AUBURN HILLS,MI,48326,326199,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,5,4/7/2020,The Huntington National Bank,TX-16,
60705,L &AMP; L PATTERN INC.,,Muskegon Heights,MI,59034,332999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,5/1/2020,TCF National Bank,MT-,
58221.77,BURNIPS WESLEYAN CHURCH (LIFECHANGE COMMUNITY CHURCH),3014 Newell St,Burnips,MI,59034,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,5/1/2020,TCF National Bank,MT-,
52412,LA MARCO HOMES LLC,777 South Eton St,BIRMINGHAM,MI,48000,561110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,5/1/2020,"JPMorgan Chase Bank, National Association",,
42067.82,D.W. STURT &AMP; CO,1301 South 131 Highway,Petsoky,MI,59034,523140,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,5/1/2020,TCF National Bank,MT-,
